ROW_ID,ITEMID,LABEL,LINKSTO
190,545,plateau-off,chartevents
191,546,popliteal pulse [right],chartevents
192,547,position,chartevents
193,548,position change,chartevents
194,549,posttib. pulses [right],chartevents
195,550,precautions,chartevents
196,551,pressure sore #1 [stage],chartevents
197,552,pressure sore #2 [stage],chartevents
198,553,pressure sore #3 [stage],chartevents
199,554,press sore site #2,chartevents
200,555,presssore depth #1,chartevents
201,556,presssore depth #2,chartevents
202,557,presssore depth #3,chartevents
203,558,pressure sore #1 [drainage],chartevents
204,559,pressure sore #2 [drainage],chartevents
205,560,pressure sore #3 [drainage],chartevents
206,561,pressure sore #1 [width],chartevents
207,562,pressure sore #2 [width],chartevents
208,563,pressure sore #3 [width],chartevents
209,564,presssorecleansing#1,chartevents
210,565,presssorecleansing#2,chartevents
211,566,presssorecleansing#3,chartevents
212,567,presssoretreatment#1,chartevents
213,568,presssoretreatment#2,chartevents
214,569,presssoretreatment#3,chartevents
215,570,presssorewoundbase#1,chartevents
216,571,presssorewoundbase#2,chartevents
217,572,presssorewoundbase#3,chartevents
218,573,pressure sore odor#1,chartevents
219,574,pressure sore odor#2,chartevents
220,575,pressure sore odor#3,chartevents
221,576,pressure sore site#1,chartevents
222,577,pressure sore site#3,chartevents
223,578,pressure support,chartevents
224,579,pressurereducedevice,chartevents
225,580,previous weight,chartevents
226,581,previous weightf,chartevents
227,582,procedures,chartevents
228,583,pulses paradoxus,chartevents
229,584,pupil response [right],chartevents
230,585,pupil size [right],chartevents
231,586,qtc,chartevents
232,587,qs/qt,chartevents
233,588,rcw,chartevents
234,589,rcwi,chartevents
235,590,rl strength/movement,chartevents
236,591,rle [temperature],chartevents
237,592,rle [sensation],chartevents
238,593,rll lung sounds,chartevents
239,594,rom [type],chartevents
240,595,rsbi (<200),chartevents
241,596,ru strength/movement,chartevents
242,597,rue [temperature],chartevents
243,598,rue [sensation],chartevents
244,599,rul lung sounds,chartevents
245,600,rvad flow lpm,chartevents
246,601,rvsw,chartevents
247,602,rvswi,chartevents
248,603,radial pulse [right],chartevents
249,604,radiologic study,chartevents
250,605,reason for restraint,chartevents
251,606,rec. breath pressure,chartevents
252,607,rec.breath time(sec),chartevents
253,608,recruit breath,chartevents
254,609,remote alarm,chartevents
255,610,removed x 5 mins,chartevents
256,611,replace rate ml/hr,chartevents
257,612,replace.fluid infuse,chartevents
258,613,resp quotient - (r),chartevents
259,614,resp rate (spont),chartevents
260,615,resp rate (total),chartevents
261,616,respiratory effort,chartevents
262,617,respiratory pattern,chartevents
263,618,respiratory rate,chartevents
264,1435,sustained nystamus,chartevents
265,1436,tactile disturbances,chartevents
266,1437,tremor,chartevents
267,1438,ulnar pulse [right],chartevents
268,1439,visual disturbances,chartevents
269,1447,transpulmonary pres,chartevents
270,1448,vd/vt:,chartevents
271,1449,arterial bp(rad),chartevents
272,1450,level one,chartevents
273,1451,l girth size,chartevents
274,1452,#1 chest tube irrig.,chartevents
275,1453,ct drsg,chartevents
276,1454,r hips drsg change,chartevents
277,1455,fingerstick glucose,chartevents
278,1456,popliteal pulse r/l,chartevents
279,1457,cpap,chartevents
280,1458,l ankle dsg change,chartevents
281,1459,gluteral drsg change,chartevents
282,1460,d5w 100meq nahc03,chartevents
283,1462,wrist  restraints,chartevents
284,1463,pad count,chartevents
285,1464,zzzly wake up,chartevents
286,1465,back dsg,chartevents
287,1466,atc,chartevents
288,1467,pericare,chartevents
289,1468,hi/minute/vol/alarm,chartevents
290,1,% inspir. time,chartevents
291,2,abi (l),chartevents
292,3,abi (r),chartevents
293,4,abi ankle bp [right],chartevents
294,5,abi brachial bp [right],chartevents
295,6,abp [systolic],chartevents
296,24,art lumen volume,chartevents
297,25,av interval,chartevents
298,26,aado2,chartevents
299,27,abdominal assessment,chartevents
300,28,abdominal girth,chartevents
301,29,access mmhg,chartevents
302,31,activity,chartevents
303,32,activity tolerance,chartevents
304,34,add gas flow (vent),chartevents
305,35,additional gas (lpm),chartevents
306,36,additional gas(mask),chartevents
307,37,additional gas(vent),chartevents
308,38,airway,chartevents
309,39,airway size,chartevents
310,40,airway type,chartevents
311,41,alarms activated,chartevents
312,43,angio appearance #1 [attribute 1],chartevents
313,44,angio appearance #2 [attribute 1],chartevents
314,45,angio dressing #1,chartevents
315,46,angio dressing #2,chartevents
316,47,angio site #1,chartevents
317,48,angio site #2,chartevents
318,49,anti-embolism [device],chartevents
319,50,apnea time interval,chartevents
320,51,arterial bp [systolic],chartevents
321,52,arterial bp mean,chartevents
322,53,arterial pressure,chartevents
323,54,assistance device,chartevents
324,55,assisted systole,chartevents
325,56,atrial pacemaker [sense],chartevents
326,57,atrial pacemaker threshold [unit],chartevents
327,58,atrial pacemaker [ma],chartevents
328,59,augmented diastole,chartevents
329,60,auto-peep level,chartevents
330,61,avdo2,chartevents
331,62,baedp,chartevents
332,63,bipap - bpm,chartevents
333,64,bipap - epap,chartevents
334,65,bipap - est. vt,chartevents
335,66,bipap - ipap,chartevents
336,67,bipap - o2 lpm,chartevents
337,68,bipap-mode,chartevents
338,69,bsa,chartevents
339,70,bsa - english,chartevents
340,71,bsa - metric,chartevents
341,72,back care,chartevents
342,74,base excess,chartevents
343,75,baseline current/ma,chartevents
344,76,bath,chartevents
345,77,behavior,chartevents
346,78,bladder irrigation,chartevents
347,79,blood flow ml/min,chartevents
348,80,bowel sounds,chartevents
349,81,brachial pulse [right],chartevents
350,82,braden activity,chartevents
351,83,braden frict/shear,chartevents
352,84,braden mobility,chartevents
353,85,braden moisture,chartevents
354,86,braden nutrition,chartevents
355,87,braden score,chartevents
356,88,braden sensorypercep,chartevents
357,89,c.o. (fick),chartevents
358,90,c.o.(thermodilution),chartevents
359,91,cpm,chartevents
360,92,cpp,chartevents
361,93,ct #1 crepitus,chartevents
362,94,ct #1 drainage,chartevents
363,95,ct #1 dressing,chartevents
364,96,ct #1 [fluctuate],chartevents
365,97,ct #1 suction amount,chartevents
366,98,ct #2 crepitus,chartevents
367,99,ct #2 drainage,chartevents
368,100,ct #2 dressing,chartevents
369,101,ct #2 [fluctuate],chartevents
370,102,ct #2 suction amount,chartevents
371,103,ct #3 crepitus,chartevents
372,104,ct #3 drainage,chartevents
373,105,ct #3 dressing,chartevents
374,106,ct #3 [fluctuate],chartevents
375,107,ct #3 suction amount,chartevents
376,108,ct #4 crepitus,chartevents
377,109,ct #4 drainage,chartevents
378,110,ct #4 dressing,chartevents
379,111,ct #4 [fluctuate],chartevents
380,112,ct #4 suction amount,chartevents
381,113,cvp,chartevents
382,114,cao2,chartevents
383,115,capillary refill [right],chartevents
384,116,cardiac index,chartevents
385,117,catheter insert date,chartevents
386,118,cerv collar status,chartevents
387,119,cervical collar type,chartevents
388,121,chest pt [right],chartevents
389,122,chest tube site #1,chartevents
390,123,chest tube site #2,chartevents
391,124,chest tube site #3,chartevents
392,125,chest tube site #4,chartevents
393,127,circulation/skinint,chartevents
394,128,code status,chartevents
395,129,collar care,chartevents
396,130,communication,chartevents
397,131,compliance (40-60ml),chartevents
398,132,compliance-corrected,chartevents
399,133,cont.nebulizer(drug),chartevents
400,134,cooling [device],chartevents
401,135,corneal reflex [right],chartevents
402,136,cough effort,chartevents
403,137,cough reflex,chartevents
404,138,cough type,chartevents
405,139,cough/deep breathe,chartevents
406,140,cuff leak,chartevents
407,141,cuff pressure-airway,chartevents
408,142,current goal,chartevents
409,143,cvo2,chartevents
410,146,dialysate flow ml/hr,chartevents
411,147,dialysate infusing,chartevents
412,148,dialysis access site,chartevents
413,149,dialysis access type,chartevents
414,150,dialysis machine,chartevents
415,151,dialysis site appear,chartevents
416,152,dialysis type,chartevents
417,153,diastolic unloading,chartevents
418,154,diet type,chartevents
419,155,doppler bp,chartevents
420,156,dorsal pedpulse [right],chartevents
421,157,ett [mark],chartevents
422,158,ett position change,chartevents
423,159,ectopy frequency,chartevents
424,160,ectopy frequency 2,chartevents
425,161,ectopy type,chartevents
426,162,ectopy type 2,chartevents
427,163,edema #1 [location],chartevents
428,164,edema #2 [location],chartevents
429,165,education barrier,chartevents
430,166,education handout,chartevents
431,167,education learner,chartevents
432,168,education method,chartevents
433,169,education readiness,chartevents
434,170,education response,chartevents
435,171,education topic #1,chartevents
436,172,education topic #2,chartevents
437,173,effluent press mmhg,chartevents
438,174,emesis [appearance],chartevents
439,175,energy expenditure,chartevents
440,176,epi infusion rate,chartevents
441,177,epidural appearance,chartevents
442,178,epidural bolus,chartevents
443,179,epidural location,chartevents
444,180,epidural medication,chartevents
445,181,epidural total dose,chartevents
446,182,extubation date,chartevents
447,183,eye care,chartevents
448,184,eye opening,chartevents
449,185,fio2 alarm-high,chartevents
450,186,fio2 alarm-low,chartevents
451,187,family communication,chartevents
452,188,femoral pulse [right],chartevents
453,189,fio2 (analyzed),chartevents
454,190,fio2 set,chartevents
455,191,fio2/o2 delivered,chartevents
456,192,filter pressure mmhg,chartevents
457,193,flatus,chartevents
458,194,flow-by (lpm),chartevents
459,195,flow-by sensitivity,chartevents
460,196,foley care,chartevents
461,197,follows commands,chartevents
462,198,gcs total,chartevents
463,199,gi [guaiac],chartevents
464,200,gi intub #1 [type],chartevents
465,201,gi intub #2 [type],chartevents
466,202,gi#1 tube placecheck,chartevents
467,203,gi#1 tube [status],chartevents
468,204,gi#2 tube placecheck,chartevents
469,205,gi#2 tube [status],chartevents
470,206,gu cath insert date,chartevents
471,207,gu catheter size,chartevents
472,208,gag reflex,chartevents
473,209,graft/flap pulse,chartevents
474,210,hob,chartevents
475,211,heart rate,chartevents
476,212,heart rhythm,chartevents
477,213,heart sounds,chartevents
478,216,height of bed,chartevents
479,217,heparin dose,chartevents
480,218,high insp. pressure,chartevents
481,219,high resp. rate,chartevents
482,221,i:e ratio,chartevents
483,222,i:e ratio-calculated,chartevents
484,223,i:e ratio-tcpcv,chartevents
485,224,iabp mean,chartevents
486,225,iabp setting,chartevents
487,226,icp,chartevents
488,227,inv line#1 d/c date,chartevents
489,228,inv line#1 site date,chartevents
490,229,inv line#1 [type],chartevents
491,230,inv line#1 zero/cal,chartevents
492,231,inv line#1insertdate,chartevents
493,232,inv line#1siteappear,chartevents
494,233,inv line#2 d/c date,chartevents
495,234,inv line#2 site date,chartevents
496,235,inv line#2 [type],chartevents
497,236,inv line#2 zero/cal,chartevents
498,237,inv line#2insertdate,chartevents
499,238,inv line#2siteappear,chartevents
500,239,inv line#3 d/c date,chartevents
501,240,inv line#3 site date,chartevents
502,241,inv line#3 [type],chartevents
503,242,inv line#3 zero/cal,chartevents
504,243,inv line#3insertdate,chartevents
505,244,inv line#3siteappear,chartevents
506,245,inv line#4 d/c date,chartevents
507,246,inv line#4 site date,chartevents
508,247,inv line#4 [type],chartevents
509,248,inv line#4 zero/cal,chartevents
510,249,inv line#4insertdate,chartevents
511,250,inv line#4siteappear,chartevents
512,251,inv line#5 d/c date,chartevents
513,252,inv line#5 site date,chartevents
514,253,inv line#5 [type],chartevents
515,254,inv line#5 zero/cal,chartevents
516,255,inv line#5insertdate,chartevents
517,256,inv line#5siteappear,chartevents
518,257,inv line#6 d/c date,chartevents
519,258,inv line#6 site date,chartevents
520,259,inv line#6 [type],chartevents
521,260,inv line#6 zero/cal,chartevents
522,261,inv line#6insertdate,chartevents
523,262,inv line#6siteappear,chartevents
524,263,inv line#7 d/c date,chartevents
525,264,inv line#7 site date,chartevents
526,265,inv line#7 [type],chartevents
527,266,inv line#7 zero/cal,chartevents
528,267,inv line#7insertdate,chartevents
529,268,inv line#7siteappear,chartevents
530,269,inv line#8 d/c date,chartevents
531,270,inv line#8 site date,chartevents
532,271,inv line#8 [type],chartevents
533,272,inv line#8 zero/cal,chartevents
534,273,inv line#8insertdate,chartevents
535,274,inv line#8siteappear,chartevents
536,283,inv#1 waveformappear,chartevents
537,284,inv#2 waveformappear,chartevents
538,285,inv#3 waveformappear,chartevents
539,286,inv#4 waveformappear,chartevents
540,287,inv#5 waveformappear,chartevents
541,288,inv#6 waveformappear,chartevents
542,289,inv#7 waveformappear,chartevents
543,290,inv#8 waveformappear,chartevents
544,291,iv #1 d/c date,chartevents
545,292,iv #1 insert date,chartevents
546,294,iv #1 [site],chartevents
547,295,iv #2 d/c date,chartevents
548,296,iv #2 insert date,chartevents
549,297,iv #2 [site],chartevents
550,298,iv #3 d/c date,chartevents
551,299,iv #3 insert date,chartevents
552,300,iv #3 [site],chartevents
553,301,iv #4 d/c date,chartevents
554,302,iv #4 insert date,chartevents
555,303,iv #4 [site],chartevents
556,308,iv drip dose #1,chartevents
557,309,iv drip dose #2,chartevents
558,310,iv drip medication#1,chartevents
559,311,iv drip medication#2,chartevents
560,320,iv site #1,chartevents
561,321,iv site #2,chartevents
562,322,iv site #3,chartevents
563,323,iv site #4,chartevents
564,324,iv site appear #1,chartevents
565,325,iv site appear #2,chartevents
566,326,iv site appear #3,chartevents
567,327,iv site appear #4,chartevents
568,338,imp skin cleanse #1,chartevents
569,339,imp skin cleanse #2,chartevents
570,340,imp skin cleanse #3,chartevents
571,341,imp skin cleanse #4,chartevents
572,342,imp skin cleanse #5,chartevents
573,343,imp skin cleanse #6,chartevents
574,344,impskin character #1,chartevents
575,345,impskin character #2,chartevents
576,346,impskin character #3,chartevents
577,347,impskin character #4,chartevents
578,348,impskin character #5,chartevents
579,349,impskin character #6,chartevents
580,350,impskin #3 [drain],chartevents
581,351,impskin #6 [drain],chartevents
582,352,impskin #1 [drain],chartevents
583,353,impskin #2 [drain],chartevents
584,354,impskin #4 [drain],chartevents
585,355,impskin #5 [drain],chartevents
586,356,impskin treatment #1,chartevents
587,357,impskin treatment #2,chartevents
588,358,impskin treatment #3,chartevents
589,359,impskin treatment #4,chartevents
590,360,impskin treatment #5,chartevents
591,361,impskin treatment #6,chartevents
592,362,impskin wound base#1,chartevents
593,363,impskin wound base#2,chartevents
594,364,impskin wound base#3,chartevents
595,365,impskin wound base#4,chartevents
596,366,impskin wound base#5,chartevents
597,367,impskin wound base#6,chartevents
598,368,impskin #1 [width],chartevents
599,369,impskin #2 [width],chartevents
600,370,impskin #3 [width],chartevents
601,371,impskin #4 [width],chartevents
602,372,impskin #5 [width],chartevents
603,373,impskin #6 [width],chartevents
604,374,impaired skin site#1,chartevents
605,375,impaired skin site#2,chartevents
606,376,impaired skin site#3,chartevents
607,377,impaired skin site#4,chartevents
608,378,impaired skin site#5,chartevents
609,379,impaired skin site#6,chartevents
610,380,inc cleansing #1,chartevents
611,381,inc cleansing #2,chartevents
612,382,inc cleansing #3,chartevents
613,383,inc cleansing #4,chartevents
614,384,inc cleansing #5,chartevents
615,385,inc cleansing #6,chartevents
616,386,inc #1 [closure],chartevents
617,387,inc #2 [closure],chartevents
618,388,inc #3 [closure],chartevents
619,389,inc #4 [closure],chartevents
620,390,inc #5 [closure],chartevents
621,391,inc #6 [closure],chartevents
622,392,inc #1 [drainage],chartevents
623,393,inc #2 [drainage],chartevents
624,394,inc #3 [drainage],chartevents
625,395,inc #4 [drainage],chartevents
626,396,inc #5 [drainage],chartevents
627,397,inc #6 [drainage],chartevents
628,398,inc #1 [dressing],chartevents
629,399,inc #2 [dressing],chartevents
630,400,inc #3 [dressing],chartevents
631,401,inc #5 [dressing],chartevents
632,402,inc #6 [dressing],chartevents
633,403,inc #4 [dressing],chartevents
634,404,inc/wound packing #1,chartevents
635,405,inc/wound packing #2,chartevents
636,406,inc/wound packing #3,chartevents
637,407,inc/wound packing #4,chartevents
638,408,inc/wound packing #5,chartevents
639,409,inc/wound packing #6,chartevents
640,410,incentive spirometry,chartevents
641,411,incision/wound #1,chartevents
642,412,incision/wound #2,chartevents
643,413,incision/wound #3,chartevents
644,414,incision/wound #4,chartevents
645,415,incision/wound #5,chartevents
646,416,incision/wound #6,chartevents
647,417,inspired gas temp,chartevents
648,418,intubation date,chartevents
649,419,kneeimmobilizeloc [right],chartevents
650,420,lap,chartevents
651,421,lcw,chartevents
652,422,lcwi,chartevents
653,423,ll strength/movement,chartevents
654,424,lle [temp],chartevents
655,425,lll lung sounds,chartevents
656,426,lu strength/movement,chartevents
657,427,lue [temp],chartevents
658,428,lul lung sounds,chartevents
659,429,lvad flow lpm,chartevents
660,430,lvsw,chartevents
661,431,lvswi,chartevents
662,432,level of conscious,chartevents
663,434,low exhaled min vol,chartevents
664,435,low exhaled vt,chartevents
665,436,low insp. pressure,chartevents
666,437,low peep,chartevents
667,438,map,chartevents
668,439,mdi #1 [puff],chartevents
669,440,mdi #2 [puff],chartevents
670,441,mdi #3 [puff],chartevents
671,442,manual bp [systolic],chartevents
672,443,manual bp mean(calc),chartevents
673,444,mean airway pressure,chartevents
674,445,mech. minute volume,chartevents
675,446,micro-neb treatment,chartevents
676,447,minimal leak present,chartevents
677,448,minute volume,chartevents
678,449,minute volume (set),chartevents
679,450,minute volume(obser),chartevents
680,453,motor deficits,chartevents
681,454,motor response,chartevents
682,455,nbp [systolic],chartevents
683,456,nbp mean,chartevents
684,457,nmb medication,chartevents
685,458,nares [right],chartevents
686,459,neg insp force(>-25),chartevents
687,460,nerve stimulated,chartevents
688,461,neuro drain drainage,chartevents
689,462,neuro drain [level],chartevents
690,463,neuro drain status,chartevents
691,464,neuro drain type,chartevents
692,465,neuro symptoms,chartevents
693,466,nursing consultation,chartevents
694,467,o2 delivery device,chartevents
695,468,o2 delivery device#2,chartevents
696,469,o2 delivery mode,chartevents
697,470,o2 flow (lpm),chartevents
698,471,o2 flow (lpm) #2,chartevents
699,472,o2av,chartevents
700,473,o2avi,chartevents
701,474,o2er,chartevents
702,477,oral care,chartevents
703,478,oral cavity,chartevents
704,479,orientation,chartevents
705,480,orthostat bp sitting [systolic],chartevents
706,481,orthostat hr sitting,chartevents
707,482,orthostatbp standing [systolic],chartevents
708,483,orthostathr standing,chartevents
709,484,orthostatic bp lying [systolic],chartevents
710,485,orthostatic hr lying,chartevents
711,486,ostomy care,chartevents
712,487,ostomy [type],chartevents
713,490,pao2,chartevents
714,491,pap mean,chartevents
715,492,pap [systolic],chartevents
716,493,pca 1 hr limit (mg),chartevents
717,494,pca basal rate,chartevents
718,495,pca bolus,chartevents
719,496,pca dose,chartevents
720,3521,myoclonic jerks,chartevents
721,3522,ng feedings,chartevents
722,3523,ng tube taped at:,chartevents
723,3524,ngt placement,chartevents
724,3525,nicu procedures,chartevents
725,3528,na bicarbonate,chartevents
726,3530,narcotic analgesic,chartevents
727,3531,nares patent [left],chartevents
728,3532,nasal congestion,chartevents
729,3536,nasal sx color,chartevents
730,3537,nasal sx quality,chartevents
731,3538,nasal sx quantity,chartevents
732,3539,neonatal opium solut,chartevents
733,3540,nipple type,chartevents
734,3543,o2 administration,chartevents
735,3544,o2 analyzer cal,chartevents
736,3545,o2 sat w/seizure,chartevents
737,3546,o2 tubing present,chartevents
738,3547,og/ng residual,chartevents
739,3548,oral abnormalities,chartevents
740,3549,oral sx color,chartevents
741,3550,oral sx quality,chartevents
742,3551,oral sx quantity,chartevents
743,3553,ostomy bag change,chartevents
744,3554,oxacillin,chartevents
745,3555,peep alarm,chartevents
746,3556,pip alarm,chartevents
747,832,procan napa,chartevents
748,833,rbc,chartevents
749,834,sao2,chartevents
750,835,sed rate,chartevents
751,836,serum osmolality,chartevents
752,837,sodium (135-148),chartevents
753,838,svo2,chartevents
754,842,theophylline,chartevents
755,844,thrombin (16-21),chartevents
756,845,tobramycin/peak,chartevents
757,846,tobramycin/random,chartevents
758,847,tobramycin/trough,chartevents
759,848,total bili (0-1.5),chartevents
760,849,total protein(6.5-8),chartevents
761,850,triglyceride (0-200),chartevents
762,851,troponin,chartevents
763,852,tylenol,chartevents
764,853,uric acid (2.7-7.0),chartevents
765,854,vancomycin/peak,chartevents
766,855,vancomycin/random,chartevents
767,856,vancomycin/trough,chartevents
768,857,venous co2(calc),chartevents
769,858,venous pvco2,chartevents
770,859,venous pvo2,chartevents
771,860,venous ph,chartevents
772,861,"wbc (4-11,000)",chartevents
773,916,allergy 1,chartevents
774,917,diagnosis/op,chartevents
775,919,service,chartevents
776,920,admit ht,chartevents
777,924,readmission,chartevents
778,925,marital status,chartevents
779,926,religion,chartevents
780,5396,ferrous sulfate,chartevents
781,5401,gentamycin gtts ou,chartevents
782,5404,caffeine load,chartevents
783,5410,post ductal sat,chartevents
784,5412,healed penrose site,chartevents
785,5413,ativan,chartevents
786,5421,abdominal xray,chartevents
787,5431,cbg,chartevents
788,5434,"lytes,bili",chartevents
789,5435,mupirocin ointment,chartevents
790,5439,miconazole pwdr,chartevents
791,5441,mupricin,chartevents
792,5442,pic line placement,chartevents
793,5450,nystatin oint,chartevents
794,5453,mitrazol powder,chartevents
795,5455,lactation consult,chartevents
796,5456,chest tube,chartevents
797,5461,phenylephrine drops,chartevents
798,5462,tobradex eye ung,chartevents
799,5464,fentanyl bolus,chartevents
800,5468,pic line placement,chartevents
801,5469,lytes and bili,chartevents
802,5470,pneumogram,chartevents
803,5473,op. site,chartevents
804,5478,gentamycin oint,chartevents
805,5483,bili level,chartevents
806,5485,vit a,chartevents
807,5486,nystatin oral,chartevents
808,5487,nystatin powder,chartevents
809,5492,vitamin a,chartevents
810,5500,vit a,chartevents
811,5501,o2 sat probe change,chartevents
812,5502,r ankle,chartevents
813,5503,l nare,chartevents
814,5505,o2 sat probe site,chartevents
815,5507,laceration,chartevents
816,5513,hydrocyle,chartevents
817,5515,na supps,chartevents
818,5521,hyperoxia,chartevents
819,5523,amoxacillin,chartevents
