ROW_ID,ICD9_CODE,SHORT_TITLE,LONG_TITLE
24,01202,tb pleurisy-exam unkn,"tuberculous pleurisy, bacteriological or histological examination unknown (at present)"
25,01203,tb pleurisy-micro dx,"tuberculous pleurisy, tubercle bacilli found (in sputum) by microscopy"
26,01204,tb pleurisy-cult dx,"tuberculous pleurisy, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
27,01205,tb pleurisy-histolog dx,"tuberculous pleurisy, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
28,01206,tb pleurisy-oth test,"tuberculous pleurisy, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
29,01210,tb thoracic nodes-unspec,"tuberculosis of intrathoracic lymph nodes, unspecified"
30,01211,tb thorax node-no exam,"tuberculosis of intrathoracic lymph nodes, bacteriological or histological examination not done"
31,01212,tb thorax node-exam unkn,"tuberculosis of intrathoracic lymph nodes, bacteriological or histological examination unknown (at present)"
32,01213,tb thorax node-micro dx,"tuberculosis of intrathoracic lymph nodes, tubercle bacilli found (in sputum) by microscopy"
33,01214,tb thorax node-cult dx,"tuberculosis of intrathoracic lymph nodes, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
34,01215,tb thorax node-histo dx,"tuberculosis of intrathoracic lymph nodes, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
35,01216,tb thorax node-oth test,"tuberculosis of intrathoracic lymph nodes, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
36,01220,isol tracheal tb-unspec,"isolated tracheal or bronchial tuberculosis, unspecified"
37,01221,isol tracheal tb-no exam,"isolated tracheal or bronchial tuberculosis, bacteriological or histological examination not done"
38,01222,isol trach tb-exam unkn,"isolated tracheal or bronchial tuberculosis, bacteriological or histological examination unknown (at present)"
39,01223,isolat trach tb-micro dx,"isolated tracheal or bronchial tuberculosis, tubercle bacilli found (in sputum) by microscopy"
40,01224,isol tracheal tb-cult dx,"isolated tracheal or bronchial tuberculosis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
41,01225,isolat trach tb-histo dx,"isolated tracheal or bronchial tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
42,01226,isolat trach tb-oth test,"isolated tracheal or bronchial tuberculosis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
43,01230,tb laryngitis-unspec,"tuberculous laryngitis, unspecified"
44,01231,tb laryngitis-no exam,"tuberculous laryngitis, bacteriological or histological examination not done"
45,01232,tb laryngitis-exam unkn,"tuberculous laryngitis, bacteriological or histological examination unknown (at present)"
46,01233,tb laryngitis-micro dx,"tuberculous laryngitis, tubercle bacilli found (in sputum) by microscopy"
47,01234,tb laryngitis-cult dx,"tuberculous laryngitis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
48,01235,tb laryngitis-histo dx,"tuberculous laryngitis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
49,01792,tb organ nec-exam unkn,"tuberculosis of other specified organs, bacteriological or histological examination unknown (at present)"
50,01236,tb laryngitis-oth test,"tuberculous laryngitis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
51,01280,resp tb nec-unspec,"other specified respiratory tuberculosis, unspecified"
52,01281,resp tb nec-no exam,"other specified respiratory tuberculosis, bacteriological or histological examination not done"
53,01282,resp tb nec-exam unkn,"other specified respiratory tuberculosis, bacteriological or histological examination unknown (at present)"
54,01283,resp tb nec-micro dx,"other specified respiratory tuberculosis, tubercle bacilli found (in sputum) by microscopy"
55,01284,resp tb nec-cult dx,"other specified respiratory tuberculosis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
56,01285,resp tb nec-histo dx,"other specified respiratory tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
57,01286,resp tb nec-oth test,"other specified respiratory tuberculosis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
58,01300,tb meningitis-unspec,"tuberculous meningitis, unspecified"
59,01301,tb meningitis-no exam,"tuberculous meningitis, bacteriological or histological examination not done"
60,0010,cholera d/t vib cholerae,cholera due to vibrio cholerae
61,0011,cholera d/t vib el tor,cholera due to vibrio cholerae el tor
62,0019,cholera nos,"cholera, unspecified"
63,0020,typhoid fever,typhoid fever
64,0021,paratyphoid fever a,paratyphoid fever a
65,0022,paratyphoid fever b,paratyphoid fever b
66,0023,paratyphoid fever c,paratyphoid fever c
67,0029,paratyphoid fever nos,"paratyphoid fever, unspecified"
68,0030,salmonella enteritis,salmonella gastroenteritis
69,0031,salmonella septicemia,salmonella septicemia
70,00320,local salmonella inf nos,"localized salmonella infection, unspecified"
71,00321,salmonella meningitis,salmonella meningitis
72,00322,salmonella pneumonia,salmonella pneumonia
73,00323,salmonella arthritis,salmonella arthritis
74,00324,salmonella osteomyelitis,salmonella osteomyelitis
75,00329,local salmonella inf nec,other localized salmonella infections
76,0038,salmonella infection nec,other specified salmonella infections
77,0039,salmonella infection nos,"salmonella infection, unspecified"
78,0040,shigella dysenteriae,shigella dysenteriae
79,0041,shigella flexneri,shigella flexneri
80,0042,shigella boydii,shigella boydii
81,0043,shigella sonnei,shigella sonnei
82,0048,shigella infection nec,other specified shigella infections
83,0049,shigellosis nos,"shigellosis, unspecified"
84,0050,staph food poisoning,staphylococcal food poisoning
85,0051,botulism food poisoning,botulism food poisoning
86,0052,food pois d/t c. perfrin,food poisoning due to clostridium perfringens (c. welchii)
87,0053,food pois: clostrid nec,food poisoning due to other clostridia
88,0054,food pois: v. parahaem,food poisoning due to vibrio parahaemolyticus
89,00581,food poisn d/t v. vulnif,food poisoning due to vibrio vulnificus
90,00589,bact food poisoning nec,other bacterial food poisoning
91,0059,food poisoning nos,"food poisoning, unspecified"
92,0060,ac amebiasis w/o abscess,acute amebic dysentery without mention of abscess
93,0061,chr amebiasis w/o absces,chronic intestinal amebiasis without mention of abscess
94,0062,amebic nondysent colitis,amebic nondysenteric colitis
95,01676,tb fem gen nec-oth test,"tuberculosis of other female genital organs, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
96,01690,gu tb nos-unspec,"genitourinary tuberculosis, unspecified, unspecified"
97,01691,gu tb nos-no exam,"genitourinary tuberculosis, unspecified, bacteriological or histological examination not done"
98,01692,gu tb nos-exam unkn,"genitourinary tuberculosis, unspecified, bacteriological or histological examination unknown (at present)"
99,01693,gu tb nos-micro dx,"genitourinary tuberculosis, unspecified, tubercle bacilli found (in sputum) by microscopy"
100,01694,gu tb nos-cult dx,"genitourinary tuberculosis, unspecified, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
101,01695,gu tb nos-histo dx,"genitourinary tuberculosis, unspecified, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
102,01696,gu tb nos-oth test,"genitourinary tuberculosis, unspecified, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
103,01700,tb skin/subcutan-unspec,"tuberculosis of skin and subcutaneous cellular tissue, unspecified"
104,01701,tb skin/subcut-no exam,"tuberculosis of skin and subcutaneous cellular tissue, bacteriological or histological examination not done"
105,01702,tb skin/subcut-exam unkn,"tuberculosis of skin and subcutaneous cellular tissue, bacteriological or histological examination unknown (at present)"
106,01703,tb skin/subcut-micro dx,"tuberculosis of skin and subcutaneous cellular tissue, tubercle bacilli found (in sputum) by microscopy"
107,01704,tb skin/subcut-cult dx,"tuberculosis of skin and subcutaneous cellular tissue, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
108,01705,tb skin/subcut-histo dx,"tuberculosis of skin and subcutaneous cellular tissue, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
109,01706,tb skin/subcut-oth test,"tuberculosis of skin and subcutaneous cellular tissue, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
110,01710,erythema nodos tb-unspec,"erythema nodosum with hypersensitivity reaction in tuberculosis, unspecified"
111,01711,erythem nodos tb-no exam,"erythema nodosum with hypersensitivity reaction in tuberculosis, bacteriological or histological examination not done"
112,01712,erythem nod tb-exam unkn,"erythema nodosum with hypersensitivity reaction in tuberculosis, bacteriological or histological examination unknown (at present)"
113,01713,erythem nod tb-micro dx,"erythema nodosum with hypersensitivity reaction in tuberculosis, tubercle bacilli found (in sputum) by microscopy"
114,01714,erythem nodos tb-cult dx,"erythema nodosum with hypersensitivity reaction in tuberculosis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
115,01715,erythem nod tb-histo dx,"erythema nodosum with hypersensitivity reaction in tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
116,01716,erythem nod tb-oth test,"erythema nodosum with hypersensitivity reaction in tuberculosis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
117,01720,tb periph lymph-unspec,"tuberculosis of peripheral lymph nodes, unspecified"
118,01721,tb periph lymph-no exam,"tuberculosis of peripheral lymph nodes, bacteriological or histological examination not done"
119,01722,tb periph lymph-exam unk,"tuberculosis of peripheral lymph nodes, bacteriological or histological examination unknown (at present)"
120,01723,tb periph lymph-micro dx,"tuberculosis of peripheral lymph nodes, tubercle bacilli found (in sputum) by microscopy"
121,01724,tb periph lymph-cult dx,"tuberculosis of peripheral lymph nodes, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
122,01725,tb periph lymph-histo dx,"tuberculosis of peripheral lymph nodes, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
123,01726,tb periph lymph-oth test,"tuberculosis of peripheral lymph nodes, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
124,01730,tb of eye-unspec,"tuberculosis of eye, unspecified"
125,01731,tb of eye-no exam,"tuberculosis of eye, bacteriological or histological examination not done"
126,01732,tb of eye-exam unkn,"tuberculosis of eye, bacteriological or histological examination unknown (at present)"
127,01733,tb of eye-micro dx,"tuberculosis of eye, tubercle bacilli found (in sputum) by microscopy"
128,01734,tb of eye-cult dx,"tuberculosis of eye, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
129,01735,tb of eye-histo dx,"tuberculosis of eye, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
130,01736,tb of eye-oth test,"tuberculosis of eye, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
131,01740,tb of ear-unspec,"tuberculosis of ear, unspecified"
132,01741,tb of ear-no exam,"tuberculosis of ear, bacteriological or histological examination not done"
133,01742,tb of ear-exam unkn,"tuberculosis of ear, bacteriological or histological examination unknown (at present)"
134,01743,tb of ear-micro dx,"tuberculosis of ear, tubercle bacilli found (in sputum) by microscopy"
135,01744,tb of ear-cult dx,"tuberculosis of ear, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
136,01745,tb of ear-histo dx,"tuberculosis of ear, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
137,01746,tb of ear-oth test,"tuberculosis of ear, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
138,01750,tb of thyroid-unspec,"tuberculosis of thyroid gland, unspecified"
139,01751,tb of thyroid-no exam,"tuberculosis of thyroid gland, bacteriological or histological examination not done"
140,01752,tb of thyroid-exam unkn,"tuberculosis of thyroid gland, bacteriological or histological examination unknown (at present)"
141,01753,tb of thyroid-micro dx,"tuberculosis of thyroid gland, tubercle bacilli found (in sputum) by microscopy"
142,01754,tb of thyroid-cult dx,"tuberculosis of thyroid gland, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
143,01755,tb of thyroid-histo dx,"tuberculosis of thyroid gland, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
144,01756,tb of thyroid-oth test,"tuberculosis of thyroid gland, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
145,01760,tb of adrenal-unspec,"tuberculosis of adrenal glands, unspecified"
146,01761,tb of adrenal-no exam,"tuberculosis of adrenal glands, bacteriological or histological examination not done"
147,01762,tb of adrenal-exam unkn,"tuberculosis of adrenal glands, bacteriological or histological examination unknown (at present)"
148,01763,tb of adrenal-micro dx,"tuberculosis of adrenal glands, tubercle bacilli found (in sputum) by microscopy"
149,01764,tb of adrenal-cult dx,"tuberculosis of adrenal glands, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
150,01765,tb of adrenal-histo dx,"tuberculosis of adrenal glands, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
151,01766,tb of adrenal-oth test,"tuberculosis of adrenal glands, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
152,01770,tb of spleen-unspec,"tuberculosis of spleen, unspecified"
153,01771,tb of spleen-no exam,"tuberculosis of spleen, bacteriological or histological examination not done"
154,01772,tb of spleen-exam unkn,"tuberculosis of spleen, bacteriological or histological examination unknown (at present)"
155,01773,tb of spleen-micro dx,"tuberculosis of spleen, tubercle bacilli found (in sputum) by microscopy"
156,01774,tb of spleen-cult dx,"tuberculosis of spleen, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
157,01775,tb of spleen-histo dx,"tuberculosis of spleen, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
158,01776,tb of spleen-oth test,"tuberculosis of spleen, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
159,01780,tb esophagus-unspec,"tuberculosis of esophagus, unspecified"
160,01781,tb esophagus-no exam,"tuberculosis of esophagus, bacteriological or histological examination not done"
161,01782,tb esophagus-exam unkn,"tuberculosis of esophagus, bacteriological or histological examination unknown (at present)"
162,01783,tb esophagus-micro dx,"tuberculosis of esophagus, tubercle bacilli found (in sputum) by microscopy"
163,01784,tb esophagus-cult dx,"tuberculosis of esophagus, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
164,01785,tb esophagus-histo dx,"tuberculosis of esophagus, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
165,01786,tb esophagus-oth test,"tuberculosis of esophagus, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
166,01790,tb of organ nec-unspec,"tuberculosis of other specified organs, unspecified"
167,01791,tb of organ nec-no exam,"tuberculosis of other specified organs, bacteriological or histological examination not done"
168,0063,amebic liver abscess,amebic liver abscess
169,0064,amebic lung abscess,amebic lung abscess
170,0065,amebic brain abscess,amebic brain abscess
171,0066,amebic skin ulceration,amebic skin ulceration
172,0068,amebic infection nec,amebic infection of other sites
173,0069,amebiasis nos,"amebiasis, unspecified"
174,0070,balantidiasis,balantidiasis
175,0071,giardiasis,giardiasis
176,0072,coccidiosis,coccidiosis
177,0073,intest trichomoniasis,intestinal trichomoniasis
178,0074,cryptosporidiosis,cryptosporidiosis
179,0075,cyclosporiasis,cyclosporiasis
180,0078,protozoal intest dis nec,other specified protozoal intestinal diseases
181,0079,protozoal intest dis nos,unspecified protozoal intestinal disease
182,00800,intest infec e coli nos,"intestinal infection due to e. coli, unspecified"
183,00801,int inf e coli entrpath,intestinal infection due to enteropathogenic e. coli
184,00802,int inf e coli entrtoxgn,intestinal infection due to enterotoxigenic e. coli
185,00803,int inf e coli entrnvsv,intestinal infection due to enteroinvasive e. coli
186,00804,int inf e coli entrhmrg,intestinal infection due to enterohemorrhagic e. coli
187,00809,int inf e coli spcf nec,intestinal infection due to other intestinal e. coli infections
188,0081,arizona enteritis,intestinal infection due to arizona group of paracolon bacilli
189,0082,aerobacter enteritis,intestinal infection due to aerobacter aerogenes
190,0083,proteus enteritis,intestinal infection due to proteus (mirabilis) (morganii)
191,00841,staphylococc enteritis,intestinal infection due to staphylococcus
192,00842,pseudomonas enteritis,intestinal infection due to pseudomonas
193,00843,int infec campylobacter,intestinal infection due to campylobacter
194,00844,int inf yrsnia entrcltca,intestinal infection due to yersinia enterocolitica
195,00845,int inf clstrdium dfcile,intestinal infection due to clostridium difficile
196,00846,intes infec oth anerobes,intestinal infection due to other anaerobes
197,00847,int inf oth grm neg bctr,intestinal infection due to other gram-negative bacteria
198,00849,bacterial enteritis nec,intestinal infection due to other organisms
199,0085,bacterial enteritis nos,"bacterial enteritis, unspecified"
200,00861,intes infec rotavirus,enteritis due to rotavirus
201,00862,intes infec adenovirus,enteritis due to adenovirus
202,00863,int inf norwalk virus,enteritis due to norwalk virus
203,00864,int inf oth sml rnd vrus,enteritis due to other small round viruses [srv's]
204,00865,enteritis d/t calicivirs,enteritis due to calicivirus
205,00866,intes infec astrovirus,enteritis due to astrovirus
206,00867,int inf enterovirus nec,enteritis due to enterovirus nec
207,00869,other viral intes infec,enteritis due to other viral enteritis
208,0088,viral enteritis nos,"intestinal infection due to other organism, not elsewhere classified"
209,0090,infectious enteritis nos,"infectious colitis, enteritis, and gastroenteritis"
210,0091,enteritis of infect orig,"colitis, enteritis, and gastroenteritis of presumed infectious origin"
211,0092,infectious diarrhea nos,infectious diarrhea
212,0093,diarrhea of infect orig,diarrhea of presumed infectious origin
213,01000,prim tb complex-unspec,"primary tuberculous infection, unspecified"
214,01001,prim tb complex-no exam,"primary tuberculous infection, bacteriological or histological examination not done"
215,01002,prim tb complex-exm unkn,"primary tuberculous infection, bacteriological or histological examination unknown (at present)"
216,01003,prim tb complex-micro dx,"primary tuberculous infection, tubercle bacilli found (in sputum) by microscopy"
217,01004,prim tb complex-cult dx,"primary tuberculous infection, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
218,01005,prim tb complex-histo dx,"primary tuberculous infection, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
219,01006,prim tb complex-oth test,"primary tuberculous infection, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
220,01010,prim tb pleurisy-unspec,"tuberculous pleurisy in primary progressive tuberculosis, unspecified"
221,01011,prim tb pleurisy-no exam,"tuberculous pleurisy in primary progressive tuberculosis, bacteriological or histological examination not done"
222,01012,prim tb pleur-exam unkn,"tuberculous pleurisy in primary progressive tuberculosis, bacteriological or histological examination unknown (at present)"
223,01013,prim tb pleuris-micro dx,"tuberculous pleurisy in primary progressive tuberculosis, tubercle bacilli found (in sputum) by microscopy"
224,01014,prim tb pleurisy-cult dx,"tuberculous pleurisy in primary progressive tuberculosis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
225,01015,prim tb pleuris-histo dx,"tuberculous pleurisy in primary progressive tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
226,01016,prim tb pleuris-oth test,"tuberculous pleurisy in primary progressive tuberculosis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
227,01080,prim prog tb nec-unspec,"other primary progressive tuberculosis, unspecified"
228,01081,prim prog tb nec-no exam,"other primary progressive tuberculosis, bacteriological or histological examination not done"
229,01082,prim pr tb nec-exam unkn,"other primary progressive tuberculosis, bacteriological or histological examination unknown (at present)"
230,01083,prim prg tb nec-micro dx,"other primary progressive tuberculosis, tubercle bacilli found (in sputum) by microscopy"
231,01084,prim prog tb nec-cult dx,"other primary progressive tuberculosis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
232,01085,prim prg tb nec-histo dx,"other primary progressive tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
233,01086,prim prg tb nec-oth test,"other primary progressive tuberculosis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
234,01090,primary tb nos-unspec,"primary tuberculous infection, unspecified, unspecified"
235,01091,primary tb nos-no exam,"primary tuberculous infection, unspecified, bacteriological or histological examination not done"
236,01092,primary tb nos-exam unkn,"primary tuberculous infection, unspecified, bacteriological or histological examination unknown (at present)"
237,01093,primary tb nos-micro dx,"primary tuberculous infection, unspecified, tubercle bacilli found (in sputum) by microscopy"
238,01094,primary tb nos-cult dx,"primary tuberculous infection, unspecified, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
239,01095,primary tb nos-histo dx,"primary tuberculous infection, unspecified, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
240,01096,primary tb nos-oth test,"primary tuberculous infection, unspecified, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
241,01100,tb lung infiltr-unspec,"tuberculosis of lung, infiltrative, unspecified"
242,01101,tb lung infiltr-no exam,"tuberculosis of lung, infiltrative, bacteriological or histological examination not done"
243,01102,tb lung infiltr-exm unkn,"tuberculosis of lung, infiltrative, bacteriological or histological examination unknown (at present)"
244,01103,tb lung infiltr-micro dx,"tuberculosis of lung, infiltrative, tubercle bacilli found (in sputum) by microscopy"
245,01104,tb lung infiltr-cult dx,"tuberculosis of lung, infiltrative, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
246,01105,tb lung infiltr-histo dx,"tuberculosis of lung, infiltrative, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
247,01106,tb lung infiltr-oth test,"tuberculosis of lung, infiltrative, tubercle bacilli not found bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
248,01110,tb lung nodular-unspec,"tuberculosis of lung, nodular, unspecified"
249,01111,tb lung nodular-no exam,"tuberculosis of lung, nodular, bacteriological or histological examination not done"
250,01112,tb lung nodul-exam unkn,"tuberculosis of lung, nodular, bacteriological or histological examination unknown (at present)"
251,01113,tb lung nodular-micro dx,"tuberculosis of lung, nodular, tubercle bacilli found (in sputum) by microscopy"
252,01114,tb lung nodular-cult dx,"tuberculosis of lung, nodular, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
253,01115,tb lung nodular-histo dx,"tuberculosis of lung, nodular, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
254,01116,tb lung nodular-oth test,"tuberculosis of lung, nodular, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
255,01120,tb lung w cavity-unspec,"tuberculosis of lung with cavitation, unspecified"
256,01121,tb lung w cavity-no exam,"tuberculosis of lung with cavitation, bacteriological or histological examination not done"
257,01122,tb lung cavity-exam unkn,"tuberculosis of lung with cavitation, bacteriological or histological examination unknown (at present)"
258,01123,tb lung w cavit-micro dx,"tuberculosis of lung with cavitation, tubercle bacilli found (in sputum) by microscopy"
259,01124,tb lung w cavity-cult dx,"tuberculosis of lung with cavitation, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
260,01125,tb lung w cavit-histo dx,"tuberculosis of lung with cavitation, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
261,01126,tb lung w cavit-oth test,"tuberculosis of lung with cavitation, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
262,01130,tb of bronchus-unspec,"tuberculosis of bronchus, unspecified"
263,01131,tb of bronchus-no exam,"tuberculosis of bronchus, bacteriological or histological examination not done"
264,01132,tb of bronchus-exam unkn,"tuberculosis of bronchus, bacteriological or histological examination unknown (at present)"
265,01133,tb of bronchus-micro dx,"tuberculosis of bronchus, tubercle bacilli found (in sputum) by microscopy"
266,01134,tb of bronchus-cult dx,"tuberculosis of bronchus, tubercle bacilli not found (in sputum) by microscopy, but found in bacterial culture"
267,01135,tb of bronchus-histo dx,"tuberculosis of bronchus, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
268,01136,tb of bronchus-oth test,"tuberculosis of bronchus, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
269,01140,tb lung fibrosis-unspec,"tuberculous fibrosis of lung, unspecified"
270,01141,tb lung fibrosis-no exam,"tuberculous fibrosis of lung, bacteriological or histological examination not done"
271,01142,tb lung fibros-exam unkn,"tuberculous fibrosis of lung, bacteriological or histological examination unknown (at present)"
272,01143,tb lung fibros-micro dx,"tuberculous fibrosis of lung, tubercle bacilli found (in sputum) by microscopy"
273,01144,tb lung fibrosis-cult dx,"tuberculous fibrosis of lung, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
274,01145,tb lung fibros-histo dx,"tuberculous fibrosis of lung, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
275,01146,tb lung fibros-oth test,"tuberculous fibrosis of lung, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
276,01150,tb bronchiectasis-unspec,"tuberculous bronchiectasis, unspecified"
277,01151,tb bronchiect-no exam,"tuberculous bronchiectasis, bacteriological or histological examination not done"
